"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
183,"2013-06-01 00:28:32","2013-06-01 00:31:35",412,"Forsyth St & Canal St",40.7158155,-73.99422366,340,"Madison St & Clinton St",40.71269042,-73.98776323,18856,"Subscriber",1990,0
985,"2013-06-01 00:29:51","2013-06-01 00:46:16",285,"Broadway & E 14 St",40.73454567,-73.99074142,393,"E 5 St & Avenue C",40.72299208,-73.97995466,20195,"Subscriber",1990,1
1024,"2013-06-01 00:29:57","2013-06-01 00:47:01",285,"Broadway & E 14 St",40.73454567,-73.99074142,393,"E 5 St & Avenue C",40.72299208,-73.97995466,15487,"Subscriber",1990,1
1496,"2013-06-01 00:30:00","2013-06-01 00:54:56",532,"S 5 Pl & S 5 St",40.710451,-73.960876,251,"Mott St & Prince St",40.72317958,-73.99480012,18886,"Customer",NULL,0
583,"2013-06-01 00:30:18","2013-06-01 00:40:01",293,"Lafayette St & E 8 St",40.73020660529954,-73.99102628231049,247,"Perry St & Bleecker St",40.73535398,-74.00483091,19456,"Subscriber",1973,1
905,"2013-06-01 00:31:06","2013-06-01 00:46:11",229,"Great Jones St",40.72743423,-73.99379025,426,"West St & Chambers St",40.71754834,-74.01322069,18976,"Customer",NULL,0
1035,"2013-06-01 00:31:34","2013-06-01 00:48:49",303,"Mercer St & Spring St",40.72362738,-73.99949601,404,"9 Ave & W 14 St",40.7405826,-74.00550867,15271,"Subscriber",1987,1
367,"2013-06-01 00:31:35","2013-06-01 00:37:42",470,"W 20 St & 8 Ave",40.74345335,-74.00004031,512,"W 29 St & 9 Ave",40.7500727,-73.99839279,17193,"Subscriber",1960,1
412,"2013-06-01 00:33:17","2013-06-01 00:40:09",285,"Broadway & E 14 St",40.73454567,-73.99074142,504,"1 Ave & E 16 St",40.73221853,-73.98165557,17800,"Customer",NULL,0
1246,"2013-06-01 00:33:33","2013-06-01 00:54:19",445,"E 10 St & Avenue A",40.72740794,-73.98142006,238,"Bank St & Washington St",40.7361967,-74.00859207,15971,"Subscriber",1990,1
124,"2013-06-01 00:33:47","2013-06-01 00:35:51",354,"Emerson Pl & Myrtle Ave",40.69363137,-73.96223558,244,"Willoughby Ave & Hall St",40.69196035,-73.96536851,19347,"Subscriber",1984,1
501,"2013-06-01 00:34:32","2013-06-01 00:42:53",300,"Shevchenko Pl & E 7 St",40.728145,-73.990214,152,"Warren St & Church St",40.71473993,-74.00910627,19080,"Subscriber",1974,1
3719,"2013-06-01 00:34:42","2013-06-01 01:36:41",323,"Lawrence St & Willoughby St",40.69236178,-73.98631746,83,"Atlantic Ave & Fort Greene Pl",40.68382604,-73.97632328,14842,"Customer",NULL,0
1525,"2013-06-01 00:34:54","2013-06-01 01:00:19",233,"Cadman Plaza W & Pierrepont St",40.69475701363877,-73.99052739143372,511,"E 14 St & Avenue B",40.72938685,-73.97772429,17778,"Subscriber",1984,1
1526,"2013-06-01 00:34:55","2013-06-01 01:00:21",233,"Cadman Plaza W & Pierrepont St",40.69475701363877,-73.99052739143372,511,"E 14 St & Avenue B",40.72938685,-73.97772429,18269,"Subscriber",1985,1
1088,"2013-06-01 00:34:58","2013-06-01 00:53:06",79,"Franklin St & W Broadway",40.71911552,-74.00666661,439,"E 4 St & 2 Ave",40.7262807,-73.98978041,15601,"Subscriber",1964,1
879,"2013-06-01 00:35:14","2013-06-01 00:49:53",504,"1 Ave & E 16 St",40.73221853,-73.98165557,454,"E 51 St & 1 Ave",40.75455731,-73.96592976,19806,"Subscriber",1976,1
8299,"2013-06-01 00:35:51","2013-06-01 02:54:10",481,"S 3 St & Bedford Ave",40.71260486,-73.96264403,312,"Allen St & Stanton St",40.722055,-73.989111,19318,"Customer",NULL,0
357,"2013-06-01 00:36:02","2013-06-01 00:41:59",439,"E 4 St & 2 Ave",40.7262807,-73.98978041,504,"1 Ave & E 16 St",40.73221853,-73.98165557,18586,"Subscriber",1983,1
2215,"2013-06-01 00:37:15","2013-06-01 01:14:10",157,"Henry St & Atlantic Ave",40.69089272,-73.99612349,398,"Atlantic Ave & Furman St",40.69165183,-73.9999786,19878,"Customer",NULL,0
915,"2013-06-01 00:37:56","2013-06-01 00:53:11",143,"Clinton St & Joralemon St",40.69239502,-73.99337909,83,"Atlantic Ave & Fort Greene Pl",40.68382604,-73.97632328,19810,"Subscriber",1985,1
2184,"2013-06-01 00:38:00","2013-06-01 01:14:24",157,"Henry St & Atlantic Ave",40.69089272,-73.99612349,398,"Atlantic Ave & Furman St",40.69165183,-73.9999786,17770,"Customer",NULL,0
547,"2013-06-01 00:38:58","2013-06-01 00:48:05",441,"E 52 St & 2 Ave",40.756014,-73.967416,383,"Greenwich Ave & Charles St",40.735238,-74.000271,17183,"Subscriber",1967,1
934,"2013-06-01 00:40:08","2013-06-01 00:55:42",236,"St Marks Pl & 2 Ave",40.7284186,-73.98713956,518,"E 39 St & 2 Ave",40.74780373,-73.9734419,19079,"Subscriber",1974,1
537,"2013-06-01 00:40:27","2013-06-01 00:49:24",482,"W 15 St & 7 Ave",40.73935542,-73.99931783,NULL,NULL,NULL,NULL,15090,"Subscriber",1981,1
1142,"2013-06-01 00:41:09","2013-06-01 01:00:11",303,"Mercer St & Spring St",40.72362738,-73.99949601,447,"8 Ave & W 52 St",40.76370739,-73.9851615,16451,"Customer",NULL,0
586,"2013-06-01 00:41:26","2013-06-01 00:51:12",465,"Broadway & W 41 St",40.75513557,-73.98658032,168,"W 18 St & 6 Ave",40.73971301,-73.99456405,19411,"Subscriber",1976,1
601,"2013-06-01 00:41:51","2013-06-01 00:51:52",465,"Broadway & W 41 St",40.75513557,-73.98658032,225,"W 14 St & The High Line",40.74195138,-74.00803013,17941,"Subscriber",1981,2
509,"2013-06-01 00:43:28","2013-06-01 00:51:57",357,"E 11 St & Broadway",40.73261787,-73.99158043,2008,"Little West St & 1 Pl",40.70569254,-74.01677685,16570,"Subscriber",1970,1
97,"2013-06-01 00:44:23","2013-06-01 00:46:00",244,"Willoughby Ave & Hall St",40.69196035,-73.96536851,354,"Emerson Pl & Myrtle Ave",40.69363137,-73.96223558,17844,"Subscriber",1984,1
529,"2013-06-01 00:44:29","2013-06-01 00:53:18",2022,"E 60 St & York Ave",40.759107,-73.959223,486,"Broadway & W 29 St",40.7462009,-73.98855723,17006,"Subscriber",1984,1
693,"2013-06-01 00:44:27","2013-06-01 00:56:00",281,"Grand Army Plaza & Central Park S",40.7643971,-73.97371465,461,"E 20 St & 2 Ave",40.73587678,-73.98205027,14570,"Subscriber",1983,1
437,"2013-06-01 00:44:35","2013-06-01 00:51:52",508,"W 46 St & 11 Ave",40.76341379,-73.99667444,495,"W 47 St & 10 Ave",40.76269882,-73.99301222,15387,"Subscriber",1990,2
100,"2013-06-01 00:43:20","2013-06-01 00:45:00",355,"Bayard St & Baxter St",40.71602118,-73.99974372,355,"Bayard St & Baxter St",40.71602118,-73.99974372,17136,"Subscriber",1984,2
1787,"2013-06-01 00:45:01","2013-06-01 01:14:48",295,"Pike St & E Broadway",40.71406667,-73.99293911,146,"Hudson St & Reade St",40.71625008,-74.0091059,16315,"Customer",NULL,0
